,Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z
1695,-0.338300497116069,-0.8769341163215539,-0.17575145868110364,-0.056732960170967274,0,0,0,1,0
5306,-0.338300497116069,-0.8769341163215539,-0.3793731345366398,0.21932936035112033,0,0,0,0,1
2751,-0.851086201165638,-0.8769341163215539,-0.8205534322236353,0.7714540013952955,0,0,0,1,0
4950,-1.2173617040581872,-1.4186155439254873,-0.6508687023440217,0.49539168087320795,0,0,0,0,1
4904,1.1268015144541277,1.2897915940941798,1.4192850021872636,-1.1609822422593177,0,0,0,0,1
1902,0.9070362127185984,1.2897915940941798,0.9441677585243461,-1.022951081998274,0,0,0,0,1
2805,-0.851086201165638,-0.8769341163215539,-0.5829948103921759,0.35736052061216417,0,0,0,0,1
2894,-0.11853519538053964,0.20642873888631294,0.027870217174432513,-0.3327952806930549,0,0,0,0,1
1288,-0.9975964023226577,-0.8769341163215539,-1.1259859460069395,1.3235786424394709,0,0,0,1,0
2114,0.24774030751200957,0.20642873888631294,0.29936578498181443,-0.4708264409540987,0,0,0,1,0
5039,-0.11853519538053964,0.20642873888631294,-0.14181451270518106,-0.056732960170967274,0,0,0,0,1
4529,0.32099540809051946,0.20642873888631294,0.19755494705404608,-0.4708264409540987,0,0,0,1,0
4340,-0.851086201165638,-0.8769341163215539,-0.3793731345366398,0.21932936035112033,0,0,0,0,1
2409,-0.851086201165638,-0.8769341163215539,-0.4811839724644082,0.21932936035112033,0,0,0,0,1
348,1.9326076208177356,1.2897915940941798,0.7405460826688094,-0.8849199217372301,0,0,0,0,1
3891,-0.338300497116069,0.20642873888631294,-0.00606672880149008,-0.19476412043201108,0,0,0,1,0
4692,-1.2173617040581872,-0.8769341163215539,-1.2277967839347077,1.4616098027005147,0,0,0,0,1
3994,-1.2173617040581872,-0.8769341163215539,-1.5332292977180122,2.1517656040057336,0,0,0,1,0
789,1.2000566150326373,1.2897915940941798,0.604798298765119,-0.7468887614761863,0,0,0,0,1
1626,0.32099540809051946,0.20642873888631294,0.4011766229095822,-0.6088576012151425,0,0,0,0,1
2890,-0.851086201165638,-0.8769341163215539,-0.6508687023440217,0.49539168087320795,0,0,0,0,1
2223,-0.5580657988515988,-0.8769341163215539,-1.0581120540550941,1.185547482178427,0,0,0,1,0
5647,-0.4848106982730888,-0.8769341163215539,-0.8205534322236353,0.7714540013952955,0,0,0,1,0
321,-1.1441066034796774,-0.8769341163215539,-1.1599228919828624,1.3235786424394709,0,0,0,1,0
871,1.0535464138756174,1.2897915940941798,1.385348056211341,-1.1609822422593177,0,0,0,1,0
2655,0.32099540809051946,0.20642873888631294,1.9622761378020275,-1.4370445627814052,0,1,0,0,0
169,0.32099540809051946,0.20642873888631294,0.23149189302996867,-0.4708264409540987,0,0,0,1,0
2103,-1.1441066034796774,-0.8769341163215539,-0.5490578644162534,0.35736052061216417,0,0,0,1,0
2829,-0.11853519538053964,0.20642873888631294,0.4011766229095822,-0.6088576012151425,0,0,0,0,1
5037,-0.11853519538053964,0.20642873888631294,-0.4133100805125624,0.21932936035112033,0,0,0,0,1
2407,1.3465668161896571,1.2897915940941798,0.1636180010781235,-0.3327952806930549,0,0,0,0,1
4013,-1.1441066034796774,-0.8769341163215539,-0.5829948103921759,0.35736052061216417,0,0,0,1,0
4445,-0.4848106982730888,-0.8769341163215539,-0.3793731345366398,0.21932936035112033,0,0,0,1,0
5156,-1.2173617040581872,-0.8769341163215539,-1.295670675886553,1.5996409629615584,0,0,0,1,0
73,-0.11853519538053964,0.20642873888631294,-0.24362535063294882,-0.056732960170967274,0,0,0,0,1
420,-0.5580657988515988,-0.8769341163215539,-0.14181451270518106,-0.056732960170967274,0,0,0,1,0
3001,1.5663321179251866,1.2897915940941798,0.6726721907169642,-0.7468887614761863,0,0,0,1,0
4505,1.5663321179251866,1.2897915940941798,0.8084199746206552,-0.8849199217372301,0,0,0,1,0
3839,1.5663321179251866,1.2897915940941798,0.5708613527891958,-0.7468887614761863,0,0,0,1,0
92,0.9070362127185984,1.2897915940941798,0.5708613527891958,-0.7468887614761863,0,0,0,0,1
1877,-0.11853519538053964,0.20642873888631294,0.3672396769336596,-0.6088576012151425,0,0,0,0,1
5183,-0.851086201165638,-0.8769341163215539,-0.8884273241754804,0.9094851616563394,0,0,0,0,1
1623,0.4675056092475389,0.20642873888631294,0.12968105510220088,-0.3327952806930549,0,0,0,0,1
4060,-0.851086201165638,-0.8769341163215539,-1.329607621862476,1.7376721232226022,0,0,0,1,0
4476,-1.1441066034796774,-0.8769341163215539,-1.4992923517420895,2.1517656040057336,1,0,0,0,0
2862,0.9070362127185984,1.2897915940941798,0.5029874608373506,-0.6088576012151425,0,0,0,0,1
3668,-0.851086201165638,-0.8769341163215539,-0.24362535063294882,-0.056732960170967274,0,0,0,0,1
5426,-0.851086201165638,-0.8769341163215539,-0.3114992425847946,0.08129820009007653,0,0,0,1,0
2380,-0.5580657988515988,-0.8769341163215539,-0.07394062075333527,-0.19476412043201108,0,0,0,1,0
2138,-0.851086201165638,-0.8769341163215539,-0.24362535063294882,-0.056732960170967274,0,1,0,0,0
494,0.32099540809051946,0.20642873888631294,0.604798298765119,-0.7468887614761863,0,0,0,1,0
1375,-1.290616804636697,-0.8769341163215539,-0.7526795402717895,0.6334228411342517,0,0,0,1,0
5388,-0.338300497116069,0.20642873888631294,-0.14181451270518106,-0.056732960170967274,0,0,0,1,0
5159,0.32099540809051946,0.20642873888631294,0.4011766229095822,-0.6088576012151425,0,0,0,1,0
4785,0.32099540809051946,0.20642873888631294,0.26542883900589187,-0.4708264409540987,0,0,0,1,0
1164,-0.5580657988515988,-0.8769341163215539,-0.8544903781995579,0.7714540013952955,0,0,0,1,0
4686,-1.2173617040581872,-0.8769341163215539,-1.295670675886553,1.5996409629615584,0,0,0,1,0
1270,0.8337811121400881,0.20642873888631294,0.5029874608373506,-0.6088576012151425,0,0,0,1,0
4010,-0.851086201165638,-0.8769341163215539,0.0618071631503551,-0.3327952806930549,0,0,0,1,0
2213,0.24774030751200957,0.20642873888631294,-0.04000367477741267,-0.19476412043201108,0,0,0,1,0
2770,-0.851086201165638,-0.8769341163215539,-0.9223642701514031,0.9094851616563394,0,0,0,1,0
4833,-0.851086201165638,-0.8769341163215539,-1.295670675886553,1.5996409629615584,0,0,0,1,0
4684,-1.2173617040581872,-0.8769341163215539,-1.397481513814321,1.875703283483646,0,0,0,1,0
618,2.2256280231317755,1.2897915940941798,1.4532219481631867,-1.2990134025203615,0,0,0,0,1
4932,-0.851086201165638,-0.8769341163215539,-0.34543618856071723,0.08129820009007653,0,0,0,0,1
2337,0.32099540809051946,0.20642873888631294,0.604798298765119,-0.7468887614761863,0,0,0,1,0
124,-1.290616804636697,-0.8769341163215539,-0.8544903781995579,0.7714540013952955,0,0,0,1,0
4316,-0.851086201165638,-0.8769341163215539,-0.24362535063294882,-0.056732960170967274,0,0,0,0,1
2351,-1.1441066034796774,-0.8769341163215539,-0.4811839724644082,0.21932936035112033,0,0,0,1,0
2292,1.3465668161896571,1.2897915940941798,0.7744830286447325,-0.8849199217372301,0,0,0,0,1
